id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
2003,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2003,CCJC,COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA,CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA,2,COMISSÃO PERMANENTE,COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA,CONSTITUIÇÃO E JUSTIÇA,81868,2026-06-03 08:38:48
2014,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2014,CSAUDE,COMISSÃO DE SAÚDE,SAÚDE,2,COMISSÃO PERMANENTE,COMISSÃO DE SAÚDE,SAÚDE,81878,2026-06-03 08:38:48
2018,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2018,CREDN,COMISSÃO DE RELAÇÕES EXTERIORES E DE DEFESA NACIONAL,RELAÇÕES EXTERIORES E DE DEFESA NACIONAL,2,COMISSÃO PERMANENTE,COMISSÃO DE RELAÇÕES EXTERIORES E DE DEFESA NACIONAL,RELAÇÕES EXTERIORES,81895,2026-06-03 08:38:48
2017,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2017,CINDRE,COMISSÃO DE INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL,INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL,2,COMISSÃO PERMANENTE,COMISSÃO DE INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL,INTEGRAÇÃO NACIONAL,81904,2026-06-03 08:38:48
537871,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/537871,CIDOSO,COMISSÃO DE DEFESA DOS DIREITOS DA PESSOA IDOSA,DEFESA DOS DIREITOS DA PESSOA IDOSA,2,COMISSÃO PERMANENTE,COMISSÃO DE DEFESA DOS DIREITOS DA PESSOA IDOSA,IDOSOS,81926,2026-06-03 08:38:48
539385,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539385,CCOM,COMISSÃO DE COMUNICAÇÃO,COMUNICAÇÃO,2,COMISSÃO PERMANENTE,COMISSÃO DE COMUNICAÇÃO,COMUNICAÇÃO,81285,2026-06-03 08:38:48
100950,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950,EVENTOS,EVENTOS,OUTROS EVENTOS,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,CÂMARA DOS DEPUTADOS - OUTROS EVENTOS,,81636,2026-06-03 08:38:48
6066,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/6066,CTUR,COMISSÃO DE TURISMO,TURISMO,2,COMISSÃO PERMANENTE,COMISSÃO DE TURISMO,TURISMO,81757,2026-06-03 08:38:48
539360,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539360,PL808514,"COMISSÃO ESPECIAL DESTINADA A PROFERIR PARECER AO PROJETO DE LEI Nº 8085, DE 2014, DO SENADO FEDERAL, QUE ""ALTERA A LEI Nº 9.503, DE 23 DE SETEMBRO DE 1997, QUE INSTITUI O CÓDIGO DE TRÂNSITO BRASILEIRO, PARA INSTITUIR A OBRIGATORIEDADE DA PRÁTICA DE DIREÇÃO VEICULAR EM VIAS PÚBLICAS PARA FINS DE FORMAÇÃO DE CONDUTORES""",PL 8085/14 - ALTERAÇÃO NO CÓDIGO DE TRÂNSITO BRASILEIRO,3,COMISSÃO ESPECIAL,COMISSÃO ESPECIAL SOBRE ALTERAÇÃO NO CÓDIGO DE TRÂNSITO BRASILEIRO (PL 8085/14),CÓDIGO DE TRÂNSITO BRASILEIRO,81761,2026-06-03 08:38:48
536996,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/536996,CCULT,COMISSÃO DE CULTURA,CULTURA,2,COMISSÃO PERMANENTE,COMISSÃO DE CULTURA,CULTURA,81864,2026-06-03 08:38:48
539385,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539385,CCOM,COMISSÃO DE COMUNICAÇÃO,COMUNICAÇÃO,2,COMISSÃO PERMANENTE,COMISSÃO DE COMUNICAÇÃO,COMUNICAÇÃO,81880,2026-06-03 08:38:48
