id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,data_captura
100681,https://dadosabertos.camara.leg.br/api/v2/orgaos/100681,MPV44408,"Autoriza o Poder Executivo a doar estoques públicos de alimentos à República de Cuba, à República do Haiti, à República de Honduras e à Jamaica.",MPV44408,9,Comissão Medida Provisória,MPV44408,,2026-06-01 00:27:13
100682,https://dadosabertos.camara.leg.br/api/v2/orgaos/100682,MPV44508,Dispõe sobre a dispensa de recolhimento de parte dos dividendos e juros sobre capital próprio pela Caixa Econômica Federal.,MPV44508,9,Comissão Medida Provisória,MPV44508,,2026-06-01 00:27:13
100683,https://dadosabertos.camara.leg.br/api/v2/orgaos/100683,MPV44608,"Dispõe sobre a certificação das entidades beneficentes de assistência social, regula os procedimentos de isenção de contribuições para a seguridade social, e dá outras providências.",MPV44608,9,Comissão Medida Provisória,MPV44608,,2026-06-01 00:27:13
100686,https://dadosabertos.camara.leg.br/api/v2/orgaos/100686,MPV44708,"Altera a Medida Provisória no 2.158-35, de 24 de agosto de 2001, a Lei no 10.637, de 30 de dezembro de 2002, a Lei no 10.833, de 29 de dezembro de 2003, a Lei no 8.383, de 30 de dezembro de 1991, a Lei no 11.196, de 21 de novembro de 2005, a Lei no 8.212, de 24 de julho de 1991, e a Lei no 10.666, de 8 de maio de 2003, para alterar o prazo de pagamento dos impostos e contribuições federais que especifica.",MPV44708,9,Comissão Medida Provisória,MPV44708,,2026-06-01 00:27:13
100688,https://dadosabertos.camara.leg.br/api/v2/orgaos/100688,MPV44808,"Abre crédito extraordinário, em favor da Presidência da República e dos Ministérios da Saúde, dos Transportes, da Defesa e da Integração Nacional, no valor global de R$ 1.600.000.000,00, para os fins que especifica",MPV44808,9,Comissão Medida Provisória,MPV44808,,2026-06-01 00:27:13
100689,https://dadosabertos.camara.leg.br/api/v2/orgaos/100689,MPV44908,"Altera a legislação tributária federal relativa ao parcelamento ordinário de débitos tributários, concede remissão nos casos em que especifica, institui regime tributário de transição, e dá outras providências.",MPV44908,9,Comissão Medida Provisória,MPV44908,,2026-06-01 00:27:13
100690,https://dadosabertos.camara.leg.br/api/v2/orgaos/100690,MPV45008,"Autoriza a União a participar de Fundo de Garantia a Empreendimentos de Energia Elétrica - FGEE; altera o § 4o do art. 1o da Lei no 11.805, de 6 de novembro de 2008; dispõe sobre a utilização do excesso de arrecadação e do superávit financeiro das fontes de recursos existentes no Tesouro Nacional; altera o art. 1o da Lei no 10.841, de 18 de fevereiro de 2004; e autoriza a União a repassar ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES recursos captados junto ao Banco Internacional para a Reconstrução e o Desenvolvimento - BIRD.",MPV45008,9,Comissão Medida Provisória,MPV45008,,2026-06-01 00:27:13
100691,https://dadosabertos.camara.leg.br/api/v2/orgaos/100691,MPV45108,"Altera a legislação tributária federal, e dá outras providências.",MPV45108,9,Comissão Medida Provisória,MPV45108,,2026-06-01 00:27:13
100693,https://dadosabertos.camara.leg.br/api/v2/orgaos/100693,MPV45208,"Dá nova redação à Lei no 11.887, de 24 de dezembro de 2008, que cria o Fundo Soberano do Brasil - FSB, e à Lei no 11.314, de 3 de julho de 2006, que autoriza o Departamento Nacional de Infra-Estrutura de Transportes - DNIT a executar obras nas rodovias transferidas a entes da Federação, e dá outras providências.",MPV45208,9,Comissão Medida Provisória,MPV45208,,2026-06-01 00:27:13
100694,https://dadosabertos.camara.leg.br/api/v2/orgaos/100694,MPV45309,Constitui fonte adicional de recursos para ampliação de limites operacionais do Banco Nacional de Desenvolvimento Econômico e Social - BNDES e dá outras providências.,MPV45309,9,Comissão Medida Provisória,MPV45309,,2026-06-01 00:27:13
100697,https://dadosabertos.camara.leg.br/api/v2/orgaos/100697,MPV45409,"Dá nova redação aos arts. 2o, 3o e 4o da Lei no 10.304, de 5 de novembro de 2001, que transfere ao domínio do Estado de Roraima terras pertencentes à União.",MPV45409,9,Comissão Medida Provisória,MPV45409,,2026-06-01 00:27:13
100698,https://dadosabertos.camara.leg.br/api/v2/orgaos/100698,MPV45509,"Dispõe sobre o atendimento da alimentação escolar e do Programa Dinheiro Direto na Escola aos alunos da educação básica, altera a Lei no 10.880, de 9 de junho de 2004, e dá outras providências.",MPV45509,9,Comissão Medida Provisória,MPV45509,,2026-06-01 00:27:13
100699,https://dadosabertos.camara.leg.br/api/v2/orgaos/100699,MPV45609,Dispõe sobre o salário mínimo a partir de 1o de fevereiro de 2009.,MPV45609,9,Comissão Medida Provisória,MPV45609,,2026-06-01 00:27:13
100700,https://dadosabertos.camara.leg.br/api/v2/orgaos/100700,MPV45709,"Altera os arts. 96 e 102 da Lei no 11.196, de 21 de novembro de 2005, que dispõem sobre parcelamento de débitos de responsabilidade dos Municípios, decorrentes de contribuições sociais de que tratam as alíneas ""a"" e ""c"" do parágrafo único do art. 11 da Lei no 8.212, de 24 de julho de 1991.",MPV45709,9,Comissão Medida Provisória,MPV45709,,2026-06-01 00:27:13
100744,https://dadosabertos.camara.leg.br/api/v2/orgaos/100744,MPV47709,(dispõe sobre a política do salário mínimo).,MPV47709,9,Comissão Medida Provisória,MPV47709,,2026-06-01 00:27:13
100701,https://dadosabertos.camara.leg.br/api/v2/orgaos/100701,MPV45809,"Dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União, no âmbito da Amazônia Legal, altera as Leis nos 8.666, de 21 de junho de 1993, 6.015, de 31 de dezembro de 1973, 6.383, de 7 de dezembro 1976, e 6.925, de 29 de junho de 1981, e dá outras providências.",MPV45809,9,Comissão Medida Provisória,MPV45809,,2026-06-01 00:27:13
100705,https://dadosabertos.camara.leg.br/api/v2/orgaos/100705,MPV45909,"Dispõe sobre o Programa Minha Casa, Minha Vida - PMCMV, a regularização 	fundiária de assentamentos localizados em áreas urbanas, e dá outras providências.",MPV45909,9,Comissão Medida Provisória,MPV45909,,2026-06-01 00:27:13
